"","1","2","3","4","6","7","8"
"Acacia falcata",0,0,0,0,0,11,0
"Acacia fimbriata",0,0,0,0,0,8,0
"Acacia glaucocarpa",0,0,0,0,0,26,0
"Acacia sp.",0,0,0,0,0,86,0
"Allocasuarina torulosa",0,0,0,0,0,0,11
"Alstonia constricta",0,2,0,0,0,0,0
"Cassinia laevis",0,0,21,0,0,0,0
"Corymbia citriodora",0,0,0,0,280,0,0
"Corymbia intermedia",0,0,0,0,4,0,0
"Corymbia tessellaris",0,0,0,47,0,0,0
"Dodonaea sp.",0,0,5,0,0,0,0
"Eucalyptus argophloia",0,0,0,0,3,0,0
"Eucalyptus crebra",0,0,0,0,15,0,0
"Eucalyptus dunnii",0,0,0,18,0,0,0
"Eucalyptus fibrosa",0,0,0,0,1,0,0
"Eucalyptus moluccana",0,0,0,0,12,0,0
"Eucalyptus pilularis",0,0,0,0,12,0,0
"Eucalyptus populnea",0,0,0,0,3,0,0
"Eucalyptus siderophloia",0,0,0,0,7,0,0
"Eucalyptus sp.",0,0,0,0,3,0,0
"Eucalyptus tereticornis",0,0,0,0,45,0,0
"Flindersia australis",0,0,0,3,0,0,0
"Geijera parviflora",0,0,20,0,0,0,0
"Lantana camara",0,1,0,0,0,0,0
"Lophostemon confertus",0,0,0,1,0,0,0
"Melia azedarach",1,0,0,0,0,0,0
