"","Value","Std.Error","DF","t-value","p-value"
"seed.mm(Intercept)",-1.49235839535225,0.21490859044914,1382,-6.94415422032853,5.84174022118646e-12
"seed.mmseed.group2",-0.512252665086735,0.329563727208479,1382,-1.55433569533181,0.120333322547896
"seed.mmseed.group3",-0.438363095627145,0.323143920740306,1382,-1.35655683889357,0.175143619063355
"seed.mmseed.group4",1.09455717203654,0.248057304338617,1382,4.41251740179514,1.10112216275232e-05
"seed.mmseed.group5",-0.645009624685841,0.341999765041685,1382,-1.88599435033888,0.0595052599978728
"seed.mmseed.group6",2.07716681417664,0.232604878735644,1382,8.93002255785589,1.32623708802906e-18
"seed.mmseed.group7",2.05596276594642,0.232810143131977,1382,8.83107040907974,3.07692270402952e-18
"seed.mmseed.group8",-2.69801334102851,0.5963096834544,1382,-4.52451706871338,6.57256645035695e-06
"seed.mmplot.typePlanting",-0.273808845182766,0.376464184829686,51,-0.727317115987111,0.470357464675019
"seed.mmplot.typeYoung regrowth",-1.04943868347799,0.470351342669147,51,-2.23118037151259,0.0300931313357626
"seed.mmplot.typeOld regrowth",-25.4862005510256,65375.0487601059,51,-0.000389845989171609,0.999690468849067
"seed.mmplot.area",-0.0425133197974712,0.0580761438230499,137,-0.732027249037116,0.465402350523065
"seed.mmseed.group2:plot.typePlanting",-0.414077630600681,0.659800436192801,1382,-0.627580110419453,0.530382717763304
"seed.mmseed.group3:plot.typePlanting",0.0328490351608503,0.584910433776123,1382,0.056160795335416,0.955221830626986
"seed.mmseed.group4:plot.typePlanting",-1.31399830793161,0.526412523669576,1382,-2.49613800745439,0.0126711451681327
"seed.mmseed.group5:plot.typePlanting",-1.36215534528785,0.933080196274026,1382,-1.45984809315127,0.14455909703614
"seed.mmseed.group6:plot.typePlanting",-0.179107736323884,0.417649835086463,1382,-0.428846658796847,0.668101656974747
"seed.mmseed.group7:plot.typePlanting",0.232079242357883,0.412672614208708,1382,0.562381011889753,0.573947658438701
"seed.mmseed.group2:plot.typeYoung regrowth",-0.107762560852244,0.786550721069736,1382,-0.137006499346518,0.891045613838394
"seed.mmseed.group3:plot.typeYoung regrowth",1.2905089426732,0.604815637135707,1382,2.13372284616318,0.0330411303298297
"seed.mmseed.group4:plot.typeYoung regrowth",0.29550227195671,0.540460404214195,1382,0.546760261533603,0.584631713504189
"seed.mmseed.group5:plot.typeYoung regrowth",0.0108550635176501,0.794738051798629,1382,0.0136586684041154,0.989104269635688
"seed.mmseed.group6:plot.typeYoung regrowth",0.909087935931031,0.500141577114984,1382,1.8176611934065,0.069332379863104
"seed.mmseed.group7:plot.typeYoung regrowth",0.717440599324159,0.502317403769861,1382,1.42826148156487,0.153442556595585
"seed.mmseed.group2:plot.typeOld regrowth",24.8866809203438,65375.0487632039,1382,0.000380675523631138,0.999696319824233
"seed.mmseed.group3:plot.typeOld regrowth",25.8956296921527,65375.0487615432,1382,0.000396108762941157,0.999684008109151
"seed.mmseed.group4:plot.typeOld regrowth",24.1948751464375,65375.0487613678,1382,0.000370093416446291,0.99970476159635
"seed.mmseed.group5:plot.typeOld regrowth",24.3174883267803,65375.0487657735,1382,0.000371968951241708,0.999703265406878
"seed.mmseed.group6:plot.typeOld regrowth",25.010882791258,65375.0487604878,1382,0.000382575359643546,0.99969480424871
"seed.mmseed.group7:plot.typeOld regrowth",25.0649933201921,65375.0487604833,1382,0.000383403053541476,0.999694143964031
